SKU,Product_Name,Product_Description,Product_Price,Promo_Price,Stock_Quantity,Product_Type,Brand,Brand_Name
RAI0007,Silver Rain Design mStand Support,Aluminum support compatible with all MacBook,59.99,499.899,1,8696,RAI,Rain Design
RAI0014,Rain Design iSlider iPad Support,Anodized aluminum support multiposition iPad and iPad mini.,49.99,349.932,0,1216,RAI,Rain Design
RAI0015,Rain Design MTower support MacBook Air / Pro,Aluminum support for MacBook Pro and MacBook Air,59.99,499.899,1,8696,RAI,Rain Design
RAI0016,Rain Design iLevel2 MacBook Support,Adjustable aluminum bracket height compatible with all MacBook,84.99,669.904,1,8696,RAI,Rain Design
RAI0018,"Rain Design Mbase Support for iMac 27 """,Minimalist support lifting drawer iMac 27,84.99,749.898,1,8696,RAI,Rain Design
RAI0017,"Rain Design Mbase 215 iMac Support """,Minimalist lifting support drawer 215 inch iMac,72.99,649.903,1,8696,RAI,Rain Design
RAI0013,Silver Rain Design mStand360 Support,Swivel stand compatible with all MacBook aluminum,72.99,569.898,0,8696,RAI,Rain Design
RAI0019,Rain Design mStand Support Gold,Aluminum support compatible with all MacBook,59.99,449.902,1,8696,RAI,Rain Design
RAI0020,Rain Design Gray Space mStand Support,Aluminum support compatible with all MacBook,59.99,549.897,0,8696,RAI,Rain Design
APP0023,Apple Mac Keyboard Keypad Spanish,USB ultrathin keyboard Apple Mac Spanish.,59.0,589.996,0,13855401,APP,Apple
APP0025,Mighty Mouse Apple Mouse for Mac,mouse Apple USB cable.,59.0,569.898,0,1387,APP,Apple
APP0072,Apple Dock to USB Cable iPhone and iPod white,IPhone dock and USB Cable Apple iPod.,25.0,229.997,0,1230,APP,Apple
APP0073,Apple Composite AV Cable iPhone and iPod white,IPhone and iPod AV Cable Dock to Composite Video.,45.0,420.003,0,1230,APP,Apple
APP0100,Apple Adapter Mini Display Port to VGA,Adapter Mini Display Port to VGA MacBook and MacBook Pro (unibody).,35.0,330.003,0,1325,APP,Apple
APP0101,Apple Mini DisplayPort to DVI Adapter,Adapter mini DisplayPort to DVI MacBook and MacBook Pro (unibody).,35.0,330.003,0,1325,APP,Apple
APP0111,Apple USB Ethernet Adapter Mac,USB to Ethernet adapter Mac.,35.0,330.003,0,1334,APP,Apple
APP0156,45W MagSafe charger Apple MacBook Air,Charger MacBook Air MagSafe 45 W (MC747Z / A).,89.0,849.904,0,13005399,APP,Apple
APP0206,"60W MagSafe charger Apple MacBook and MacBook Pro 13 """,Charger MacBook and 13 inch MacBook MagSafe 60 W (MC461Z / A).,89.0,849.904,1,13005399,APP,Apple
APP0234,Apple Dock Connector to VGA,Dock Connector to VGA IOS.,35.0,350.005,0,13955395,APP,Apple
APP0247,"85W MagSafe charger Apple MacBook Pro 15 ""/ 17""",Charger MacBook Pro MagSafe 85 W (MC556Z / A).,89.0,849.904,1,13005399,APP,Apple
APP0233,Apple iPad Camera Connection connector,IPad connector for digital cameras and SD cards.,35.0,349.896,0,13955395,APP,Apple
APP0277,Apple Wireless Keyboard Keyboard (OEM) Mac,Ultrathin keyboard Apple Bluetooth Spanish (unboxed).,79.0,759.904,0,13855401,APP,Apple
APP0280,Apple HDMI to HDMI Cable 1.8m,HMDI to HDMI Cable 1.8m.,25.0,240.004,0,1325,APP,Apple
APP0308,AV Cable Adapter Apple iPhone iPad and iPod white,IPhone iPad iPod adapter and AV cable.,45.0,359.999,0,1230,APP,Apple
APP0343,Apple Thunderbolt Cable 2m White,Cable Mac Apple Thunderbolt 2m.,45.0,429.998,1,1325,APP,Apple
APP0367,Apple Mini DisplayPort to DVI Adapter Mac dual channel,Adapter Mini Display Port to DVI dual channel MacBook MacBook Pro and MacBook Air.,119.0,,0,1325,APP,Apple
APP0344,"Apple Thunderbolt Display 27 ""Monitor Mac",Monitor Display 27-inch Apple Thunderbolt (MC914ZM / A).,1149.0,,0,1296,APP,Apple
APP0370,Apple TV media player,Apple multimedia player.,79.0,749.898,0,4259,APP,Apple
APP0390,"Apple MacBook Pro 133 ""Core i5 25GHz | 4GB RAM | 500GB HDD",MacBook Pro laptop 133 inches (MD101Y / A).,1199.0,,0,1282,APP,Apple
APP0574,Apple MacBook Pro 133 '' i7 29GHz | 4GB RAM | 500GB HDD,Apple MacBook Pro 133 inches (MD101Y / A) with extension Processor.,1379.0,,0,1282,APP,Apple
APP0490,Apple Airport Express,Airport Express base station 802.11a / b / g / n.,109.0,,0,1334,APP,Apple
APP0399,Apple Thunderbolt to Gigabit Ethernet Adapter Mac,Mac adapter Thunderbolt to Gigabit Ethernet (MD463ZM / A).,35.0,330.003,1,1325,APP,Apple
APP0400,Apple MagSafe to MagSafe converter 2,MagSafe to MagSafe converter 2.,12.0,119.996,0,1325,APP,Apple
APP0407,Apple USB SuperDrive (June 2012 Model),New CD / DVD retina MacBook Pro MacBook Air iMac Mac Pro and Mac Mini.,89.0,872.507,1,1424,APP,Apple
APP0408,Apple 45W MagSafe 2 charger MacBook Air,Charger MacBook Air MagSafe 2 of 45 W (MD592Z / A).,89.0,850.001,0,13005399,APP,Apple
APP0409,Apple 85W MagSafe 2 charger MacBook Pro Retina screen 15 '',MagSafe charger 2 of 85 W (MD506Z / A).,89.0,850.001,1,13005399,APP,Apple
APP0410,Apple Thunderbolt to FireWire 800 adapter,Adapter Thunderbolt to Firewire 800 connection.,35.0,330.003,1,1325,APP,Apple
APP0416,Apple iPod Touch 32GB Silver,New generation iPod touch 5 32GB white / silver.,279.0,264.99,0,11821715,APP,Apple
APP0417,Apple iPod Touch 32GB yellow,New 5 generation iPod touch 32GB yellow.,279.0,264.99,0,11821715,APP,Apple
APP0418,Apple iPod Touch 32GB Blue,New 5 generation iPod touch 32GB blue.,279.0,264.99,0,11821715,APP,Apple
APP0419,Apple iPod Touch 32GB Pink,New 5 generation iPod touch 32GB rose.,279.0,264.99,0,11821715,APP,Apple
APP0421,Apple iPod Touch 64GB Silver,New iPod touch 5 generation white / silver 64GB.,339.0,,0,11821715,APP,Apple
APP0422,Apple iPod Touch 64GB yellow,New 5 generation iPod touch 64GB yellow.,339.0,,0,11821715,APP,Apple
APP0423,Apple iPod Touch 64GB Blue,New 5 generation iPod touch 64GB blue.,339.0,,0,11821715,APP,Apple
APP0424,Apple iPod Touch 64GB Pink,New 5 generation iPod touch 64GB rose.,339.0,,0,11821715,APP,Apple
